date,,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year
2015-12-02,-1.0,9.939891651351978,9.821921602706384,9.742231625504717,9.645368791468242,9.53501970144241,9.41948491216443,9.307163535600134,9.204739434013902,9.11654154156187,9.04456059872886
2015-12-03,-1.0,9.975572287114849,9.882089790379258,9.809722867431516,9.717019406123244,9.609334039212035,9.495561662152049,9.384365027646773,9.282574421312193,9.194617909556449,9.122562966891842
2015-12-04,-1.0,9.97155376082107,9.843549142247387,9.758161331419563,9.659879719441758,9.551287276449555,9.439745374401648,9.332832699049856,9.236552291056567,9.15469539329555,9.088851732123674
2015-12-07,-1.0,9.989485683179462,9.92547940688549,9.87647586769234,9.800545567383612,9.703904301227832,9.596362021302886,9.487525814655498,9.385131324659152,9.294429171391828,9.218200003451308
2015-12-08,-1.0,10.060078909869118,9.944118084029704,9.870321785413422,9.78114864397766,9.679144655863846,9.571881067213782,9.4672501548226,9.371606180429188,9.289091861110506,9.221625335137787
2015-12-09,-1.0,10.036147434153337,9.914801550274902,9.834265680087347,9.737509557262353,9.627738191472819,9.512989453781032,9.401484975008584,9.299787882527854,9.212149220044273,9.140515521912196
2015-12-10,-1.0,10.102475857044551,9.97194460537346,9.879849098182474,9.767867262021467,9.640750909165707,9.50787403830884,9.378534740463989,9.260089608098724,9.157319583910237,9.07247338487197
2015-12-11,-1.0,10.016484448415195,9.924294860066606,9.86527158571658,9.78234171871548,9.680087989993003,9.567828420910306,9.455005682914047,9.349286090999867,9.255872722716484,9.177497550859242
2015-12-14,-1.0,10.130057867185862,10.035048811334132,9.968974512906208,9.879434935981937,9.771444751843122,9.654417916266704,9.537750852952785,9.429004047608299,9.333250792747332,9.253088510603297
2015-12-15,-1.0,10.1645831794318,10.086628971596925,9.940899828004639,9.791465602593636,9.648122738945403,9.518339413518191,9.407152845903845,9.317332151781853,9.249468935621222,9.202300959550154
2015-12-16,-1.0,10.18482612563039,10.088213293656455,9.940257539107034,9.788522741636132,9.641058907872882,9.50546227808606,9.38729107411974,9.289888205633186,9.214351173519184,9.159816323582554
2015-12-17,-1.0,10.191802483102304,10.078162239512716,9.918481914737518,9.758832943484007,9.6070119771864,9.469952018649415,9.352537612435997,9.257483114556763,9.185335136241788,9.134771305732816
2015-12-18,-1.0,10.191042954904589,10.044244187539439,9.882311961964099,9.725303615654038,9.577703050392449,9.445164105931038,9.332010840864282,9.240705473582166,9.171699523388595,9.123664039189423
2015-12-21,-1.0,10.292191951600977,10.051385678704596,9.844174591454298,9.666447558337818,9.518235592881023,9.399830657058741,9.310850542301843,9.249753573226405,9.213738576948675,9.198965450437282
2015-12-22,-1.0,10.272028285793185,10.046730815628557,9.854301822071236,9.688743034894543,9.550150649742907,9.438981851105687,9.355119751630879,9.297335819336617,9.263156388048237,9.249059242821781
2015-12-23,-1.0,10.245739620897972,9.958857633469902,9.820792797113928,9.700788210111991,9.59093283726753,9.491657997295295,9.405603696963897,9.33499577390296,9.280740776775758,9.242297498632274
2015-12-24,-1.0,10.238002561784205,9.875214410577328,9.743740756694347,9.636608718954243,9.538795506771942,9.448554172974129,9.368191381008801,9.300266597967264,9.246260711438824,9.206261905885498
2015-12-25,-1.0,10.186822126018301,9.832043752835872,9.702268205393777,9.597266233115423,9.502494608105817,9.416052919788628,9.339964704443403,9.276506947815593,9.226922602498785,9.191119028080973
2015-12-28,-1.0,10.11381553742463,9.803200257886779,9.668913064025753,9.557004428035212,9.457865978217619,9.370472739710475,9.296527385145051,9.23761425621974,9.194217396504351,9.165544682316096
2015-12-29,-1.0,9.981724830624465,9.690547700994184,9.589075921564334,9.50066908656682,9.416043016883922,9.335403843020435,9.26208306269911,9.199294834729688,9.14899902506942,9.11165733182663
2015-12-30,-1.0,9.91715183004389,9.657248514370554,9.553515937243706,9.464540348141524,9.38364188557307,9.310732051417835,9.248099654733881,9.197807553003283,9.160780694512479,9.136640976913098
2015-12-31,-1.0,9.939797333944545,9.654002523117642,9.55463147870942,9.471176323769459,9.393669933719186,9.32155221511285,9.257420400664147,9.203880410801293,9.162430087432751,9.133210214370635
2016-01-01,-1.0,9.949874702039695,9.655300088822981,9.546841131470536,9.45695026379677,9.37586354685648,9.302594068368215,9.239205764252326,9.187775901683356,9.149327788709561,9.123602707493463
2016-01-04,-1.0,9.831813152913913,9.626074459277858,9.524621106257387,9.435268983681373,9.353297911554977,9.27972034788661,9.217088208219641,9.16744950136725,9.131609620486733,9.109038804014324
2016-01-05,-1.0,9.85505505854427,9.634040339294353,9.531278914557548,9.442345194346133,9.361128429741402,9.28818966656442,9.225945230323301,9.176427007495032,9.140472788246896,9.117603522952953
